"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"35",111758,"other","premium",4.3,10,23,28.1,1053
"36",126824,"toys","premium",4.7,8,28,26.3,1241
"37",191794,"health",NA,4.6,16,15,6.8,2438
"38",186706,"health","off_brand",4,16,14,56.7,2365
"39",138599,"toys","off_brand",4.6,7,11,52.8,1250
"40",148551,"health","off_brand",3.3,12,25,99.8,2246
"41",87263,"other","premium",3.3,3,24,15.5,1888
"42",198294,"toys","off_brand",4.7,5,16,82.7,2725
"43",127984,"toys","off_brand",3.9,8,19,60.7,2777
"44",208139,"health","off_brand",4.8,16,25,NA,2124
"45",145435,"other","premium",4.4,5,18,42.9,1917
"46",175357,"other","premium",4.1,5,26,21.1,2647
"47",153870,"health","off_brand",4.6,11,24,43.1,1075
"48",112781,"food","off_brand",3.6,2,NA,26.9,1140
"49",204036,"toys","premium",4.6,23,23,72.4,2310
"50",243501,"toys","off_brand",4.5,13,18,79.5,3377
"51",130990,"toys","off_brand",4.1,9,17,63.1,1492
"52",214489,"other","premium",4.6,0,25,51.9,3031
"53",207044,"food","off_brand",4.5,1,26,55.9,2309
"54",73944,"other","premium",3.6,3,9,37.5,1348
"55",148498,"toys","off_brand",4.6,12,24,97.1,1704
"56",111213,"toys","off_brand",4.1,15,27,81.4,968
"57",126079,"toys","premium",4,9,30,37.1,2090
"58",153423,"other","off_brand",3.7,7,13,20.4,3324
"59",190269,"health","off_brand",4.8,2,28,32.9,2090
"60",192787,"toys","off_brand",4.7,2,12,46.2,1176
"61",193558,"health","premium",3.9,7,24,5,3196
"62",104223,"health","off_brand",3.9,5,18,62.4,2644
"63",170354,"health","premium",4.3,7,15,69.2,2574
"64",119277,"health","premium",3.7,10,32,60.3,1598
"65",84837,"other","off_brand",4,14,13,26,1233
"66",173824,"toys","off_brand",2.9,8,26,66.6,3718
"67",117285,"toys","off_brand",3.9,1,12,28.7,1615
"68",228481,"other","off_brand",4.5,19,17,39.5,2488
"69",157511,"health","premium",4.2,20,16,61.5,2222
"70",267011,"food","off_brand",4.5,5,29,45,4098
"71",164757,"health","off_brand",4.4,10,NA,44.8,2082
"72",197312,"food","premium",4.1,1,11,27.6,2949
"73",189658,"health","off_brand",3.9,8,17,20.2,3177
"74",122895,"health","off_brand",3.1,3,1,51.4,2095
"75",158271,"health","premium",3.8,15,27,53,2555
"76",192835,"toys","premium",4.4,2,9,68.4,2580
"77",162512,"other","off_brand",2.7,6,21,62.5,3095
"78",235065,"toys","off_brand",4.4,16,25,60.2,3230
"79",48021,"toys","premium",3.6,6,22,59.7,1344
"80",160239,"health","off_brand",3.7,6,13,50.2,3293
"81",83068,"toys","premium",4.2,5,15,98.9,887
"82",146720,"health","premium",4.4,13,17,65.3,1492
"83",123876,"toys","off_brand",4.3,9,15,61.5,1274
"84",235750,"toys","off_brand",4.7,11,30,83.2,3331
"85",132660,"health","off_brand",4.5,9,12,61.2,1144
"86",121463,"health","off_brand",4.4,1,23,NA,1208
"87",181837,"health","off_brand",4.6,5,24,44.1,2440
"88",111250,"health","off_brand",4.1,8,13,23.8,1966
"89",186330,"other","off_brand",4.3,11,15,35.2,2762
"90",184717,"other","off_brand",4.2,9,17,62.3,2782
"91",40750,"toys","premium",3.2,5,30,30.4,1492
"92",237274,"other","off_brand",4.3,7,12,13.2,4102
"93",255836,"food","off_brand",4.1,31,26,57.2,3115
"94",172126,"health","off_brand",4.9,5,18,33.9,930
"95",53523,"health","off_brand",2.9,6,23,83.8,1117
"96",216496,"health","off_brand",4.4,22,24,53.9,2796
"97",139120,"food","off_brand",3.3,4,17,52.2,2948
"98",76568,"toys","off_brand",3.1,18,20,74.8,1048
"99",56584,"toys","off_brand",3.4,4,17,50.2,887
"100",90183,"toys","off_brand",3.4,8,24,70.1,638
"101",118942,"health","premium",4.4,5,NA,5,1891
"102",167410,"health","off_brand",4.8,16,27,27.8,1193
"103",93855,"other","off_brand",4.4,2,15,17.4,517
"104",132346,"toys","premium",4.1,18,19,62.7,2083
"105",64301,"toys","off_brand",3.9,14,32,52.4,1008
"106",111540,"other","off_brand",4.1,11,26,63.2,673
"107",154931,"toys","off_brand",3,10,15,69.1,2358
"108",105626,"toys","off_brand",4.3,4,18,54.8,731
"109",244563,"health","premium",4.7,17,3,17,2488
"110",124173,"toys","premium",3.4,12,22,44.4,2639
"111",122436,"other","off_brand",3.9,7,NA,NA,974
"112",160008,"toys","premium",3.8,12,20,74.8,2672
"113",100698,"other","off_brand",4.3,7,21,64.2,973
"114",99441,"health","off_brand",3.4,1,19,51.9,1787
"115",98226,"health","premium",4,13,16,29.6,1995
"116",101667,"toys","premium",4.3,4,24,33.2,970
"117",194322,"health","premium",4.8,4,NA,46.5,2056
"118",115626,"health","off_brand",4.6,1,22,45.8,1168
"119",176343,"toys","premium",4.7,8,17,68.6,2385
"120",123893,"health",NA,4.7,4,28,40.6,1790
"121",168460,"food","off_brand",4.3,9,19,58.1,1126
"122",121491,"health",NA,4.6,11,19,48.8,639
"123",151845,"toys","premium",4.2,11,20,52.1,2275
"124",104546,"health","premium",4.5,20,30,27.8,868
"125",154435,"health","premium",4.4,4,30,66.5,2511
"126",185224,"food","off_brand",4.3,6,16,61,2290
"127",135113,"health","off_brand",4,16,30,55.2,1266
"128",186291,"health","off_brand",3.8,201,12,72.7,2829
"129",146647,"health","off_brand",4.3,2,22,37.5,1133
"130",118643,"health","off_brand",4.3,8,31,5,1137
"131",92590,"health","premium",4.2,12,19,50.3,1281
"132",124308,"toys","off_brand",4.3,5,NA,63.7,1626
"133",182379,"health","off_brand",4.8,16,21,69.7,1467
"134",130028,"toys","premium",4.6,13,23,57.6,1354
"135",93292,"health","off_brand",4,2,23,72.3,1468
"136",112896,"health","premium",2.8,17,19,NA,2693
"137",210109,"toys","premium",4.7,7,8,67,2990
"138",171420,"health","off_brand",4.6,6,34,60.7,2198
"139",176486,"other","premium",4.6,4,13,36.3,1816
"140",150727,"health","off_brand",3.8,11,12,85.5,2385
"141",250979,"health","off_brand",4.1,13,24,87.8,3297
"142",125672,"health","off_brand",4.6,15,27,51.7,643
"143",178842,"food","premium",4.8,8,25,42.4,1062
"144",156192,"toys","premium",4.2,11,21,61,2176
"145",110844,"health",NA,3.5,11,NA,NA,1835
"146",236536,"health","off_brand",4.6,10,21,63.5,2745
"147",150875,"other","premium",4.7,13,15,16.8,941
"148",230353,"toys",NA,4.8,1,23,100.8,2695
"149",205986,"toys","off_brand",5,8,17,72.5,2673
"150",189089,"health","premium",4.4,9,23,NA,2654
"151",153287,"health","off_brand",4.8,10,15,34.8,1176
"152",135691,"health","premium",4.1,7,23,16,1125
"153",152966,"toys","premium",4.5,13,25,70.3,2014
"154",142398,"toys","premium",4.7,5,NA,50.5,1081
"155",120959,"toys","premium",4.5,4,23,39.2,1191
"156",107281,"toys","premium",3.8,3,24,54.8,1994
"157",186302,"toys","premium",4.9,11,22,50.6,2550
"158",140601,"toys","off_brand",4.1,9,12,68.9,1191
"159",113712,"toys","premium",4.4,6,20,52.7,1152
"160",115170,"health","premium",3.8,4,25,47.3,1101
"161",128631,"toys","off_brand",4.3,15,21,52.8,681
"162",113325,"toys","premium",4.8,3,29,40.5,1088
"163",223028,"toys","off_brand",4.7,28,22,48.7,2041
"164",125392,"health","off_brand",4.5,8,27,70.7,2469
"165",207950,"health","off_brand",4.7,6,11,22.4,2436
"166",190804,"toys","off_brand",4.7,6,NA,68.2,2245
"167",185277,"toys","off_brand",4.3,6,7,83.7,2156
"168",134408,"other","premium",3.8,6,18,47,2609
"169",184854,"food","off_brand",4.9,4,9,104.5,1309
"170",71181,"health","premium",4.6,3,18,NA,949
"171",158911,"health","off_brand",4.1,11,12,10.9,1614
"172",202137,"health","off_brand",4.8,2,16,5.8,2633
"173",252215,"health","off_brand",4.5,9,1,33.9,2758
"174",150340,"other","premium",4.2,8,27,49.5,2919
"175",72025,"health","premium",3.6,7,27,70.5,957
"176",55492,"other","off_brand",3.6,8,19,40.8,915
"177",165841,"other","premium",4.3,9,29,5,2542
"178",212680,"health","premium",4.9,8,13,19.5,1931
"179",120551,"food","off_brand",3.7,6,20,41.1,935
"180",136023,"food","off_brand",4,13,13,43.3,1269
"181",82999,"toys","premium",3.2,3,15,60.1,1082
"182",27433,"health","off_brand",3.4,2,26,53.7,973
"183",192138,"health","off_brand",4.7,4,12,60.9,1411
"184",158462,"toys","off_brand",3.5,10,22,45.5,2878
"185",49972,"toys","off_brand",3.5,4,15,44.8,918
"186",146711,"toys",NA,4.5,6,20,79.8,1314
"187",142953,"health","off_brand",4.7,4,28,NA,1138
"188",198074,"health",NA,4.1,2,17,21.1,3234
"189",132527,"health","premium",4.6,2,11,22.6,1308
"190",160312,"health","off_brand",4.8,8,14,59.5,1248
"191",185186,"health","off_brand",4.7,1,13,NA,1873
"192",169547,"toys","premium",3.7,10,21,48.1,3593
"193",16161,"toys","premium",3,9,29,37.4,640
"194",98592,"toys","premium",4.4,5,NA,85.8,1129
"195",113012,"toys","premium",4.1,14,28,69.8,2498
"196",221627,"toys","off_brand",4.9,11,25,57,2643
"197",83364,"health","premium",3,4,13,42.9,2895
"198",194907,"food","off_brand",4.7,22,1,69.8,1185
"199",224236,"health","premium",4.5,17,19,21.9,2777
"200",144000,"health","off_brand",4.1,19,25,47.4,1814
"201",193201,"health","off_brand",3.9,11,30,NA,2787
"202",153133,"health","off_brand",3.9,8,20,52,2890
"203",78153,"health","off_brand",4,6,25,22.8,929
"204",226482,"toys","off_brand",4.9,12,19,52.5,2366
"205",84407,"toys","off_brand",4,10,25,48.9,960
"206",82142,"health","premium",4.6,2,28,23.3,1217
"207",143454,"health","premium",4.7,7,14,NA,868
"208",108842,"toys","premium",3.9,10,26,53.8,2489
"209",187271,"toys","off_brand",4.4,15,10,56,2142
"210",123875,"food","off_brand",4,6,32,86.7,1353
"211",193598,"toys","premium",4.8,14,19,72.2,2586
"212",105398,"toys","premium",4.7,6,26,72.1,819
"213",75030,"health","off_brand",3.7,7,18,68.6,898
"214",169237,"health","off_brand",4.8,11,31,45.8,777
"215",226702,"toys","off_brand",4.9,15,19,32.4,2662
"216",150551,"other","off_brand",4,11,15,15.6,2125
"217",153926,"health","off_brand",4.2,8,NA,82.1,1983
"218",182598,"other","off_brand",4.2,8,7,30.3,2417
"219",57622,"toys","off_brand",3.6,11,14,90.6,994
"220",136023,"toys","off_brand",4.4,15,16,24.7,782
"221",169363,"food","off_brand",4.6,5,12,50.6,1013
"222",103353,"food","premium",4.2,10,17,35,1060
"223",93351,"health","premium",4.7,2,26,53.7,1110
"224",102247,"food","off_brand",4,6,14,63.3,789
"225",181331,"other",NA,4.5,6,22,33,1061
"226",176899,"food","premium",4.8,1,NA,27.3,2157
"227",195174,"other","premium",4.4,4,14,30.5,3446
"228",137223,"health","premium",4.2,2,5,35.8,2033
"229",88945,"health","off_brand",4.4,3,25,8,706
"230",107051,"food","premium",1.7,12,NA,53.1,932
"231",146580,"toys","off_brand",4.4,15,26,74.8,1014
"232",133994,"food","premium",4.3,11,31,36.4,1136
"233",119936,"toys","off_brand",4.6,6,8,62.6,1007
"234",94008,"health","premium",4.2,8,12,66.6,579
"235",80034,"other","off_brand",3.9,8,26,38,1029
"236",114670,"toys","off_brand",4.2,9,16,40.3,1866
"237",212908,"food",NA,4.7,2,27,69.6,2709
"238",221811,"other","off_brand",3,16,38,26.8,3773
"239",176791,"health","premium",4.4,1,14,46.2,2938
"240",185347,"other","off_brand",4.6,3,23,39,2199
"241",134008,"toys","premium",4.5,5,13,56.8,1206
"242",110026,"other","premium",4.4,15,14,58.9,1000
"243",226509,"toys","off_brand",4.7,6,27,37.9,2950
"244",108514,"health","premium",4.2,15,21,23.8,768
"245",230907,"health",NA,4.2,5,NA,28.6,3269
"246",62211,"toys","premium",3.8,6,31,55.8,752
"247",211632,"toys","off_brand",4.6,9,NA,87.2,2691
"248",77841,"health","premium",4,7,NA,49.2,910
"249",224031,"health","off_brand",4.7,12,15,76.6,2323
"250",108391,"toys","premium",3.7,8,25,38.2,2217
"251",108459,"toys","premium",4.3,5,23,38.2,1124
"252",86682,"toys",NA,3.9,3,20,60.5,2190
"253",209249,"food","off_brand",4.8,5,26,77.9,2773
"254",134516,"food","off_brand",4.5,4,30,71.2,688
"255",197347,"health","off_brand",4.2,10,20,27.3,1983
"256",115502,"health","off_brand",3.8,7,19,38.8,1009
"257",131644,"other","off_brand",2.9,5,NA,36.6,1518
"258",221852,"other","off_brand",4.7,10,18,69.6,1858
"259",131041,"toys","off_brand",4.3,4,16,67.5,1301
"260",128485,"health","off_brand",4.4,6,10,47.2,1066
"261",104524,"toys","premium",3.6,8,28,44.4,1995
"262",167539,"health","off_brand",4.5,2,16,12.3,2134
"263",95990,"toys","premium",2.9,14,20,41.9,1239
"264",171219,"toys","off_brand",3.9,6,17,66.4,2854
"265",158420,"toys","off_brand",4.6,8,25,96,1305
"266",180657,"toys","off_brand",4.4,6,12,60.4,2850
"267",113452,"health","off_brand",4.5,2,24,60.3,895
"268",186480,"toys",NA,4.5,2,24,50.1,2961
"269",135758,"toys",NA,4.5,6,24,85.6,999
"270",161155,"toys","off_brand",3.9,8,23,90.4,2966
"271",79322,"health","off_brand",3.6,2,NA,39,1372
"272",225614,"food","off_brand",4.9,3,30,54.2,2884
"273",174715,"toys","off_brand",4.7,7,20,88.5,1901
"274",51837,"other","premium",4,3,12,45,572
"275",124921,"other","premium",4.5,7,11,51.2,1038
"276",179210,"food","premium",4.6,7,20,29.6,2461
"277",156152,"food","off_brand",4.4,14,18,84.4,1044
"278",104652,"toys","off_brand",3.5,4,21,76.8,1216
"279",142160,"health","off_brand",4.4,6,16,67.4,2200
"280",83244,"toys","premium",3.8,3,14,36.6,1359
"281",126959,"health","off_brand",4.1,4,26,27.8,1418
"282",78708,"toys","premium",3.3,2,19,83.1,2066
"283",111510,"other","off_brand",4.2,6,24,44.2,844
"284",226808,"food","premium",4.4,9,17,11.2,3386
"285",185207,"health",NA,4.1,18,26,65.2,3116
"286",133098,"health","premium",4.3,3,19,5,2383
"287",118035,"other","off_brand",4.7,3,26,70.2,805
"288",121905,"health","off_brand",4,4,18,47.2,2108
"289",148291,"food","premium",4.6,17,9,22.2,889
"290",179571,"health","off_brand",4.5,5,20,59.7,2131
"291",146486,"other","off_brand",4.4,16,18,40.4,1078
"292",65179,"other","premium",3.5,8,28,65.9,999
"293",281350,"food","premium",4.7,12,8,48.6,3106
"294",100469,"health","off_brand",3.9,12,26,61,862
"295",165182,"other","off_brand",4.4,4,17,49.3,2763
"296",96583,"toys","premium",3.7,4,18,69.3,2111
"297",244981,"food","off_brand",4.6,15,NA,43.6,2446
"298",184251,"toys","off_brand",4.4,3,12,72.8,2756
"299",119544,"other","off_brand",4.2,4,14,42.3,1273
"300",71085,"health","off_brand",3.2,5,21,64.2,1066
"301",158774,"toys",NA,5,3,13,65.2,901
"302",110200,"toys","premium",4.1,17,23,62.9,1651
"303",201871,"health","off_brand",4,18,25,26.6,3197
"304",176587,"food","premium",4.1,16,30,52.3,2474
"305",84344,"toys","premium",4.6,9,19,43.7,1581
"306",76965,"other","off_brand",3.6,7,14,49,702
"307",158948,"toys","premium",3.8,2,17,78.5,2938
"308",150518,"health","off_brand",3.6,3,24,33.4,3612
"309",250153,"food","off_brand",4.8,9,25,26.4,2870
"310",83270,"health","off_brand",3.8,4,23,64,1817
"311",215560,"other","off_brand",3.7,19,27,79.7,3774
"312",89651,"toys","premium",3.2,5,10,58.2,1585
"313",160877,"health","off_brand",4.2,3,11,45.6,1858
"314",178033,"food","off_brand",4.7,13,28,26.1,838
"315",136955,"health","off_brand",4.2,4,19,49.2,1779
"316",109617,"food","off_brand",3.7,14,28,31.5,1221
"317",168011,"toys","off_brand",4.8,16,NA,90.8,1276
"318",203148,"health","off_brand",4.3,4,12,49.7,3132
"319",160867,"toys","off_brand",4.7,6,12,54.9,2188
"320",131870,"health","off_brand",4.4,4,27,NA,1060
"321",153389,"health","off_brand",4.7,4,24,51.8,1156
"322",170421,"health","off_brand",4.6,15,30,47.7,1215
"323",81635,"toys","premium",3.5,7,27,54.2,820
"324",196931,"health","off_brand",4.1,5,1,58.1,2035
"325",163626,"health","off_brand",4.8,8,21,58.5,1103
"326",158146,"toys","premium",4.8,3,30,56.7,1759
"327",169228,"health","off_brand",4.8,9,29,53.2,1016
"328",209969,"health","off_brand",4.1,14,19,55.3,3717
"329",148190,"toys","off_brand",3.8,5,25,69.2,3554
"330",145016,"health","premium",4.3,10,15,25.7,1141
"331",144521,"toys","off_brand",3.5,4,20,81.9,3413
"332",184816,"health","off_brand",3.7,3,22,27.9,2619
"333",70674,"toys",NA,4.2,8,NA,70,692
"334",182705,"health","off_brand",3.7,9,18,45.3,2742
"335",110016,"toys","off_brand",3.6,6,15,94.7,2364
"336",218513,"food","off_brand",3.9,1,6,NA,3445
"337",171257,"health","off_brand",4.7,14,23,42.5,1078
"338",175787,"health","off_brand",4.5,5,15,5,2338
"339",141819,"toys",NA,3.2,9,26,42.9,2692
"340",196216,"toys","off_brand",4.7,4,10,90.8,2457
"341",57132,"toys","off_brand",3.4,4,22,85,1039
"342",107534,"other","premium",4,9,29,48.1,1932
"343",132041,"toys","off_brand",4.6,9,21,84.1,1009
"344",198352,"toys","premium",4.7,9,11,34.3,2751
"345",72130,"other","off_brand",3.9,3,NA,78.9,1331
"346",89795,"food","off_brand",4.1,3,28,59.1,944
"347",187470,"toys","premium",4.2,19,18,60.5,2693
"348",92790,"health","off_brand",4.1,5,17,62.1,927
"349",158239,"toys","off_brand",4.5,6,13,82,1835
"350",161920,"toys",NA,4.3,1,25,51.4,3287
"351",148417,"toys","off_brand",4.5,13,18,56.2,1941
"352",66240,"health","off_brand",3.9,6,23,38.2,1082
"353",215338,"health","off_brand",4.5,17,18,50.5,2643
"354",111627,"health","premium",3.8,6,10,45.9,1323
"355",134165,"toys","off_brand",4.2,8,NA,74.4,2314
"356",109094,"toys","premium",4.1,7,10,33.5,1143
"357",237932,"toys","off_brand",4.6,11,14,51.9,3283
"358",157009,"health","off_brand",4.6,14,11,26.6,894
"359",123752,"toys","off_brand",4.1,5,22,53.5,1920
"360",114212,"toys","off_brand",4.4,10,6,29.9,811
"361",174638,"health","premium",4.3,5,NA,40.1,2910
"362",174039,"toys","premium",4.5,10,14,76.5,2165
"363",139840,"health","off_brand",4,2,13,53.3,2006
"364",117934,"toys","premium",3.9,17,21,58.4,1166
"365",104259,"toys","off_brand",4,12,14,46,1098
"366",230256,"health","off_brand",4.5,12,23,84.8,2856
"367",200026,"toys","off_brand",4,2,11,47.7,3560
"368",247789,"toys","premium",4.9,9,14,31.6,2446
"369",82549,"toys","off_brand",3.5,2,27,64.8,1706
"370",180718,"food","off_brand",3.8,4,35,39.6,3407
"371",153744,"health","off_brand",4,3,NA,59.8,2241
"372",61468,"other","off_brand",3.5,2,20,36.2,1012
"373",170157,"toys","off_brand",4.9,13,25,56.7,2248
"374",65126,"health","off_brand",3.3,7,23,33.2,1203
"375",48265,"toys","off_brand",3.6,10,23,69.8,632
"376",213743,"toys","off_brand",4.6,10,15,73.7,3151
"377",191766,"health","off_brand",4.4,9,21,58.7,3267
"378",24411,"toys","off_brand",3.8,1,24,72.8,866
"379",158004,"health","premium",4.7,21,12,27,847
"380",190624,"health","off_brand",3.9,17,28,54.6,3800
"381",103062,"toys","premium",4,2,24,42.2,2210
"382",212466,"toys","premium",4.6,3,29,59.1,2739
"383",209389,"toys","off_brand",4.6,9,12,48.5,3029
"384",221255,"food","off_brand",4.7,6,28,NA,2687
"385",209891,"health","off_brand",4.7,214,15,53.1,2840
"386",139951,"health","off_brand",3.8,3,19,71.4,1987
"387",108953,"food","off_brand",4.3,4,37,43,1006
"388",224862,"toys","premium",4.8,17,29,38.5,2100
"389",155783,"health","off_brand",4.2,3,19,56.7,2645
"390",204018,"health","off_brand",4.4,5,10,54.1,2486
"391",199303,"toys","off_brand",4.2,9,31,46,3122
"392",153263,"toys","off_brand",4.9,4,27,75.5,888
"393",158674,"health","off_brand",4.6,6,9,29.4,886
"394",163488,"toys","off_brand",4.9,6,18,61.6,1471
"395",275774,"toys","premium",4.5,11,12,49.9,4867
"396",74672,"health","off_brand",2.9,15,NA,45.8,1216
"397",88349,"toys","off_brand",4.4,7,14,73.6,544
"398",199397,"health","premium",4.6,7,22,34.9,3291
"399",210044,"other","premium",4.6,19,29,43.5,2309
"400",178441,"toys","premium",4.6,7,21,67.6,2316
"401",114607,"toys","off_brand",3.7,25,22,74,754
"402",158734,"health","premium",4.5,5,35,54.1,1709
"403",107253,"health","off_brand",4,1,29,56.1,1930
"404",206841,"health","premium",4.7,6,9,34.6,2858
"405",70107,"health",NA,3.7,6,30,6.5,1061
"406",118555,"toys","premium",4.6,6,12,82.1,1050
"407",233932,"toys","premium",4.8,6,11,48.9,3582
"408",212053,"food","premium",4.5,8,14,54.5,2767
"409",169770,"health","off_brand",4,5,13,45.7,2977
"410",125318,"health","off_brand",4.5,5,13,24.6,961
"411",156552,"food","premium",4.5,14,23,47.1,858
"412",145537,"toys","off_brand",4.9,9,18,69.6,1209
"413",237988,"toys",NA,3.8,6,NA,55.2,4241
"414",92726,"food","premium",3.6,8,25,79,1060
"415",216195,"other","premium",4.9,9,13,51.3,2750
"416",126148,"health","premium",4,1,26,NA,2685
"417",200338,"food","off_brand",4.7,6,24,55.3,1819
"418",170592,"toys","premium",4.4,13,12,57.9,2616
"419",57535,"other","premium",1.9,10,12,5,815
"420",192820,"toys","premium",4.9,8,15,5,1143
"421",126894,"toys","off_brand",4.2,6,23,49,1314
"422",100041,"toys","off_brand",3.9,2,27,31.8,2227
"423",112088,"toys","off_brand",4.2,8,22,103.6,843
"424",206144,"health","premium",4.4,10,30,40.3,2902
"425",206057,"food","off_brand",4.2,5,NA,41.3,2661
"426",250567,"health","off_brand",4.8,12,22,56,3146
"427",246286,"food","off_brand",4.9,6,16,20.7,1776
"428",144431,"toys","off_brand",3.7,9,21,85.4,3028
"429",78006,"health","premium",3.9,2,37,46.3,731
"430",74281,"health","premium",4.2,13,23,18.3,822
"431",192990,"other","off_brand",4.2,4,28,68.3,3485
"432",89067,"toys","off_brand",3.5,2,17,67.3,1142
"433",146293,"health","off_brand",4.5,5,11,36.4,1235
"434",157304,"other","premium",3,9,5,51.8,3114
"435",219142,"health","off_brand",4.2,10,18,78.6,2502
"436",178153,"other","premium",4.2,15,25,18.2,2738
"437",19777,"toys","premium",3.3,2,16,59.4,847
"438",182126,"toys","premium",4.8,5,21,46.9,2464
"439",131716,"toys","off_brand",4.5,15,29,52.3,1411
"440",64467,"other",NA,3.9,5,13,43.1,1174
"441",196329,"toys","off_brand",4.3,3,21,93.1,3423
"442",128218,"toys","premium",3.5,8,14,67.6,2978
"443",127097,"toys","premium",4.1,6,12,56.5,2453
"444",153890,"toys","off_brand",3.8,2,NA,54.3,3502
"445",152143,"health","off_brand",4.5,6,24,53.4,1320
"446",143262,"toys","off_brand",4.1,4,25,38.5,2493
"447",216386,"other","off_brand",4.7,24,12,49.2,1197
"448",226552,"health","premium",4.5,5,14,42.7,2773
"449",99686,"health","off_brand",4.6,12,11,39.4,977
"450",177456,"toys","off_brand",4.3,5,26,78.5,2604
"451",211784,"toys","off_brand",4.3,14,NA,67,2967
"452",219546,"toys","premium",4.6,12,5,47.9,2558
"453",118160,"toys","premium",3.5,7,NA,47.7,2818
"454",195523,"food","off_brand",4.6,5,15,55.7,1713
"455",167998,"other","premium",3.3,5,14,48.4,3229
"456",97075,"health","off_brand",4.1,14,18,36.7,1072
"457",124204,"health","off_brand",4.6,5,4,28.5,1045
"458",152858,"health","off_brand",3.8,3,17,NA,2345
"459",103168,"food","off_brand",4.4,0,16,62,1085
"460",160040,"toys","off_brand",4,1,11,65,2220
"461",171857,"health","off_brand",4.6,7,20,13.3,903
"462",126355,"toys","off_brand",4,7,20,54.7,2220
"463",86537,"toys","off_brand",4.1,9,38,66.4,1011
"464",142223,"food","off_brand",4.7,3,12,19.6,1086
"465",135076,"other","premium",4.5,8,26,14,1344
"466",178899,"health","off_brand",4.8,3,20,16.8,2120
"467",159303,"health","premium",4.6,5,12,5,1151
"468",151607,"health","off_brand",4,4,17,9,2549
"469",228732,"toys","off_brand",4.7,15,6,48.6,3472
"470",274748,"other","off_brand",4.5,13,24,36.8,4085
"471",109949,"health","premium",4.3,0,21,12.5,1737
"472",78813,"health","off_brand",3.9,4,22,49.5,1048
"473",151916,"health","premium",4.1,2,29,NA,3185
"474",214769,"food","off_brand",5,10,30,72.5,2155
"475",141022,"food","off_brand",4.1,13,32,60.2,872
"476",142942,"food","off_brand",3.9,10,NA,45.3,1505
"477",145424,"toys","premium",4.7,14,11,54.9,1353
"478",92592,"toys","premium",3.1,7,NA,39,1712
"479",143613,"health","premium",3.9,10,16,42.9,2310
"480",220080,"toys","off_brand",3.5,23,22,62.2,3075
"481",201805,"health","premium",4.2,4,10,33.4,3438
"482",137420,"other","off_brand",3.1,2,32,62.4,2561
"483",184982,"other","off_brand",4.5,12,33,83.6,2855
"484",263363,"health","premium",4.4,6,7,30.8,3862
"485",271422,"health","premium",4.6,12,15,32.1,4565
"486",180074,"health","off_brand",4.2,5,11,18.9,2857
"487",223386,"health","off_brand",4.1,14,21,NA,3290
"488",190591,"toys","premium",3.1,6,10,51.1,2742
"489",128516,"food","off_brand",4.8,3,18,48.6,1132
"490",168452,"food","premium",3.5,2,33,23,2928
"491",136099,"toys","off_brand",3.6,1,12,80.7,2648
"492",51292,"toys","premium",4,15,28,42.9,656
"493",96644,"toys","premium",4.5,11,21,63.2,931
"494",190227,"food","premium",4.6,10,9,54.4,835
"495",175159,"health","off_brand",4.3,13,22,49.3,1531
